host_since,host_is_superhost,latitude,longitude,accommodates,bedrooms,beds,review_scores_rating
2011-09-14,f,4.071.254,-7.398.352,4,2,2,4.67
2011-09-15,f,4.067.319,-7.396.804,2,1,1,4.81
2011-09-15,f,4.080.529,-7.395.307,2,1,1,4.61
2011-09-05,t,406.875,-739.546,2,1,1,4.84
2011-09-14,f,4.071.085,-7.396.672,2,1,1,4.8
2011-09-18,f,4.061.019,-7.406.757,3,1,1,4.54
2011-07-13,t,4.071.137,-739.465,5,2,3,4.92
2011-09-19,f,4.067.734,-7.397.504,2,1,2,4.57
2011-08-12,f,4.078.764,-7.397.274,2,1,2,4.58
2010-08-22,t,406.805,-7.394.885,4,2,2,4.6
2011-09-21,f,4.068.463,-7.392.367,4,1,2,4.9
2011-09-22,f,4.068.098,-7.394.023,2,1,2,4.63
2010-11-19,t,4.079.147,-7.394.629,2,1,1,4.9
2009-07-27,f,4.067.144,-7.376.501,3,1,1,4.18
2011-09-27,t,40.685,-7.394.262,2,,1,4.83
2010-06-19,f,4.080.413,-7.395.756,2,2,2,4.16
2011-09-30,f,4.074.499,-7.395.372,1,1,2,4.73
2011-10-01,f,4.070.148,-7.382.972,1,1,1,4.76
2011-10-01,f,4.066.386,-7.398.519,5,3,3,4.92
2010-02-20,f,4.074.168,-7.400.339,3,1,1,4.88
2011-10-02,f,4.075.408,-7.397.071,2,1,1,4.69
2011-10-02,t,4.072.113,-7.398.442,2,1,1,4.69
2011-10-03,f,4.071.732,-7.395.561,1,1,2,4.78
2011-10-06,f,4.077.539,-7.391.709,1,1,1,4.86
2011-10-06,f,4.073.685,-739.828,3,1,1,
2011-10-06,f,4.066.278,-7.395.886,2,1,1,5.0
2011-06-24,f,4.073.193,-7.398.511,4,2,2,4.68
2011-10-10,f,4.070.652,-7.393.991,5,1,1,4.67
2011-10-12,f,4.079.824,-7.396.863,1,1,1,
2011-10-07,f,408.666,-7.390.061,2,1,1,4.68
2011-10-13,f,4.068.921,-7.395.439,4,1,2,4.63
2011-10-14,f,4.073.693,-7.398.129,2,1,1,4.25
2011-10-01,f,407.012,-7.383.151,2,1,1,4.62
2011-03-01,f,4.073.756,-739.535,4,1,2,4.74
2011-10-17,f,4.069.913,-7.393.107,2,1,1,4.63
2011-10-18,f,4.073.273,-7.400.041,2,1,1,4.83
2011-10-18,f,4.085.099,-7.392.822,1,1,1,3.75
2011-08-13,t,4.071.065,-7.394.102,2,1,1,4.78
2011-06-29,f,4.068.532,-7.391.881,1,1,1,4.71
2011-10-19,f,4.071.643,-7.399.931,2,1,1,4.38
2011-10-19,f,4.081.146,-7.394.469,2,1,1,5.0
2011-10-19,f,4.081.128,-739.433,6,2,2,
2011-10-20,t,4.078.615,-7.397.394,1,2,1,4.94
2010-08-07,f,4.067.882,-7.397.224,1,1,1,4.8
2011-03-01,f,4.073.756,-739.535,4,1,2,4.84
2011-03-01,f,4.073.756,-739.535,4,1,2,4.77
2011-03-01,f,4.073.756,-739.535,4,1,2,4.84
2011-03-01,f,4.073.756,-739.535,4,1,2,4.74
2011-03-01,f,4.073.756,-739.535,4,1,2,4.87
2011-03-01,f,4.073.756,-739.535,4,1,2,4.8
2011-03-01,f,4.073.756,-739.535,4,1,2,4.77
2011-03-01,f,4.073.756,-739.535,4,1,2,4.86
2011-03-01,f,4.073.756,-739.535,4,1,2,5.0
2011-03-01,f,4.073.756,-739.535,4,1,2,5.0
2011-03-01,f,4.073.756,-739.535,2,1,1,4.77
2010-06-02,t,4.068.604,-739.697,3,1,,5.0
2011-03-01,f,4.073.756,-739.535,6,2,3,5.0
2011-10-26,f,4.068.136,-739.654,3,1,1,4.5
2011-10-17,f,4.071.028,-7.395.409,1,2,2,4.91
2011-10-27,f,4.069.101,-7.395.018,4,2,2,4.51
2011-04-13,t,4.072.032,-7.399.462,4,2,2,4.95
2010-12-10,t,4.068.278,-7.395.549,3,2,2,4.86
2011-03-11,f,4.074.024,-7.400.584,3,1,1,4.74
2011-11-01,f,4.074.642,-7.400.411,3,2,2,5.0
2011-11-01,f,4.081.847,-7.394.623,2,1,1,4.85
2011-11-01,t,40.591.675,-74.065.865,10,3,6,4.95
2009-08-19,f,4.071.517,-7.399.376,3,1,1,4.67
2011-11-01,f,4.067.516,-7.389.233,2,1,1,4.93
2011-11-03,f,4.071.704,-7.400.908,4,1,2,4.7
2011-11-04,f,4.073.146,-7.400.448,2,1,1,4.56
2011-05-08,f,4.070.538,-7.401.131,2,1,1,4.76
2011-11-05,f,4.074.101,-7.400.006,2,1,1,4.95
2011-11-01,f,4.073.221,-7.400.448,4,2,2,4.75
2011-04-25,f,4.071.881,-739.879,2,1,1,4.91
2011-05-19,f,4.073.219,-7.400.289,4,2,2,4.45
2011-11-07,t,4.069.643,-7.397.698,4,3,3,4.65
2011-11-07,f,4.082.176,-7.394.522,4,1,2,0.0
2011-11-07,f,4.071.838,-7.395.617,2,1,1,4.96
2011-11-08,t,4.079.632,-7.397.643,2,1,1,4.99
2009-06-11,f,4.067.254,-7.395.386,2,1,1,5.0
2011-11-09,f,4.076.253,-7.398.365,2,,1,4.88
2011-11-10,f,407.628,-739.651,6,2,3,4.89
2011-04-19,f,4.071.941,-7.398.968,4,2,2,4.26
2011-11-13,f,4.073.333,-7.385.933,1,1,1,4.96
2010-07-12,t,40.643.776,-73.972.168,2,1,1,5.0
2011-11-07,f,407.154,-7.394.028,4,2,2,5.0
2011-11-15,f,4.075.048,-7.400.134,2,1,1,4.8
2011-11-15,f,4.066.385,-7.393.229,1,1,1,4.84
2011-11-16,f,4.076.716,-7.391.177,2,1,1,4.71
2011-11-16,t,4.074.536,-7.394.903,2,1,1,4.92
2011-08-31,f,4.070.413,-7.392.726,2,1,1,4.5
2011-11-03,f,4.074.496,-7.391.167,2,1,2,4.79
2011-11-17,f,4.072.499,-7.399.198,4,1,1,4.77
2011-11-09,f,4.075.282,-7.397.315,2,1,1,4.11
2011-11-19,f,4.085.754,-7.392.887,2,1,2,4.29
2011-09-22,t,4.072.123,-7.398.451,2,1,1,4.78
2011-11-22,f,4.070.749,-73.916,4,1,1,4.41
2011-11-23,f,4.077.549,-7.395.128,1,,1,5.0
2011-11-23,f,4.066.824,-739.617,2,1,1,4.5
2011-11-17,t,4.068.413,-7.393.538,5,2,2,4.7
2011-11-24,f,4.065.809,-7.398.875,3,1,1,5.0
2010-05-24,t,4.067.782,-7.397.205,5,3,3,4.88
2011-11-27,t,4.072.842,-73.958,2,1,1,4.76
2011-08-10,f,406.556,-7.395.389,2,1,1,4.73
2011-11-28,f,4.079.241,-7.393.805,2,1,1,4.47
2011-11-28,f,4.077.128,-7.391.939,1,1,1,3.67
2011-01-30,f,4.066.883,-7.395.296,2,1,1,0.0
2011-09-13,t,4.067.265,-7.394.486,3,1,2,4.56
2010-01-14,f,4.073.853,-7.400.292,4,2,2,5.0
2011-12-04,f,408.078,-7.395.232,2,1,3,4.92
2009-09-07,f,407.159,-7.399.103,2,1,1,4.74
2011-12-05,t,406.732,-7.397.998,6,4,4,4.82
2011-12-06,f,4.075.981,-7.399.138,3,1,1,4.7
2011-12-10,t,4.067.223,-7.395.556,2,,1,4.84
2011-12-10,f,4.080.748,-7.395.589,1,1,1,4.66
2011-08-28,f,4.069.049,-7.393.212,6,2,2,4.11
2011-12-11,f,4.076.198,-7.399.361,2,1,1,4.93
2011-12-12,f,4.067.933,-73.995,4,2,2,4.98
2010-04-13,f,40.719,-7.399.764,2,1,1,4.7
